Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q9R1P4,Proteasome subunit alpha type-1 OS=Mus musculus (Mouse) OX=10090 GN=Psma1 PE=1 SV=1,29.5,13,9,9,2,11,1,3,12,11,2,13,1,3,-2.66,7.97E-05,10,12,10,12,9,7,1.05E+08,1.33E+08,3.83E+07,2.37E+07,1.66E+07,1.10E+07,,,
High,Q8R1F0,Leydig cell tumor 10 kDa protein homolog OS=Mus musculus (Mouse) OX=10090 GN=D8Ertd738e PE=3 SV=1,10.2,3,1,3,,2,,,1,3,,2,,,-3.58,8.35E-05,3,3,3,3,2,2,5.72E+06,6.16E+06,1.41E+06,4.32E+06,4.16E+05,4.78E+05,,,
High,P56565,Protein S100-A1 OS=Mus musculus (Mouse) OX=10090 GN=S100a1 PE=1 SV=2,10.5,3,,2,1,3,2,2,,3,2,4,3,3,2.21,1.15E-04,2,2,1,3,2,2,8.53E+06,6.56E+06,6.35E+06,3.03E+07,3.90E+07,1.83E+07,,,
High,Q921I1,Serotransferrin OS=Mus musculus (Mouse) OX=10090 GN=Tf PE=1 SV=1,76.7,37,20,25,19,29,21,24,23,31,19,36,40,31,2.2,1.24E-04,21,26,24,29,22,25,4.79E+07,6.18E+07,4.37E+07,7.48E+07,4.28E+08,2.20E+08,,,
High,Q99ME9,Nucleolar GTP-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Gtpbp4 PE=1 SV=3,74.1,6,5,,,1,,,5,,,1,,,-3.81,1.48E-04,5,3,,2,1,2,1.15E+07,1.16E+06,,1.02E+06,5.15E+04,2.60E+05,,,
High,P01872,Immunoglobulin heavy constant mu OS=Mus musculus (Mouse) OX=10090 GN=Ighm PE=1 SV=2,49.9,5,1,4,,4,2,3,1,4,,4,2,3,3.02,2.85E-04,1,4,2,3,4,4,6.04E+05,2.65E+06,2.69E+05,2.44E+06,2.33E+07,4.90E+06,,,
High,P08226,Apolipoprotein E OS=Mus musculus (Mouse) OX=10090 GN=Apoe PE=1 SV=2,35.8,15,8,6,7,5,14,13,9,7,8,5,22,20,2.06,2.96E-04,10,10,10,8,17,15,1.23E+07,1.34E+07,9.05E+06,6.17E+06,4.03E+08,5.11E+07,,,
High,E9Q912,"RAP1, GTP-GDP dissociation stimulator 1 OS=Mus musculus (Mouse) OX=10090 GN=Rap1gds1 PE=1 SV=1",66,15,5,13,3,13,7,6,5,13,3,15,7,6,2.11,3.06E-04,6,10,6,13,10,10,5.90E+06,1.36E+07,3.37E+06,2.54E+07,2.77E+07,1.31E+07,,,
High,Q91YI0,Argininosuccinate lyase OS=Mus musculus (Mouse) OX=10090 GN=Asl PE=1 SV=1,51.7,4,,1,,3,1,2,,1,,3,1,2,3.55,3.08E-04,1,2,1,4,2,2,2.26E+05,1.47E+06,7.56E+04,2.83E+06,2.65E+06,6.91E+05,,,
High,Q9D9G7,Peptidase S1 domain-containing protein OS=Mus musculus (Mouse) OX=10090 GN=1700074P13Rik PE=2 SV=1,28.4,1,,,1,,1,1,,,1,,2,1,2.83,3.23E-04,2,1,2,1,2,2,1.30E+06,3.05E+05,2.43E+06,2.37E+06,2.89E+07,9.24E+06,,,
High,P43006,Excitatory amino acid transporter 2 OS=Mus musculus (Mouse) OX=10090 GN=Slc1a2 PE=1 SV=1,62,10,9,10,6,9,1,4,13,17,6,12,1,4,-2.42,3.70E-04,11,12,10,12,5,7,4.09E+07,3.89E+07,8.83E+06,1.88E+07,2.48E+06,7.29E+06,,,
High,Q8BVZ5,Interleukin-33 OS=Mus musculus (Mouse) OX=10090 GN=Il33 PE=1 SV=1,30,10,7,8,2,1,,2,8,9,2,1,,2,-2.61,4.60E-04,7,7,4,5,1,5,2.37E+07,1.69E+07,4.66E+06,3.38E+06,9.57E+05,2.77E+06,,,
High,Q9D0F9,Phosphoglucomutase-1 OS=Mus musculus (Mouse) OX=10090 GN=Pgm1 PE=1 SV=4,61.4,17,12,8,1,9,7,7,13,8,1,9,9,7,1.99,4.85E-04,12,8,5,13,10,13,5.95E+07,6.62E+06,2.69E+06,2.63E+07,2.84E+07,1.49E+07,,,
High,Q9ES97,Reticulon-3 OS=Mus musculus (Mouse) OX=10090 GN=Rtn3 PE=1 SV=2,103.8,2,2,3,2,3,,1,3,5,3,4,,1,-2.37,4.96E-04,2,2,2,2,1,2,3.44E+07,3.88E+07,1.97E+07,3.26E+07,1.15E+06,6.67E+06,,,
High,Q8VDD5,Myosin-9 OS=Mus musculus (Mouse) OX=10090 GN=Myh9 PE=1 SV=4,226.2,40,44,27,9,36,19,16,71,28,9,37,28,16,-2.33,6.39E-04,34,25,16,27,19,20,1.79E+08,1.67E+08,2.52E+08,2.94E+07,6.69E+07,3.56E+07,,,
High,Q91X97,Neurocalcin-delta OS=Mus musculus (Mouse) OX=10090 GN=Ncald PE=1 SV=4,22.2,4,3,2,3,3,4,4,3,2,3,4,4,4,2.34,7.07E-04,2,4,4,4,4,4,1.95E+06,6.93E+06,2.71E+06,1.37E+07,1.58E+07,7.73E+06,,,
High,Q6NSR8,Probable aminopeptidase NPEPL1 OS=Mus musculus (Mouse) OX=10090 GN=Npepl1 PE=1 SV=1,55.9,5,3,2,,5,,1,3,2,,5,,1,-2.82,9.61E-04,2,2,1,2,1,1,8.92E+06,6.80E+06,7.93E+06,1.12E+06,2.30E+06,4.25E+05,,,
High,O09131,Glutathione S-transferase omega-1 OS=Mus musculus (Mouse) OX=10090 GN=Gsto1 PE=1 SV=2,27.5,4,2,4,1,,,,2,4,1,,,,-3.49,9.98E-04,2,3,3,1,1,1,7.13E+06,2.52E+06,1.65E+06,6.27E+05,2.23E+05,1.31E+05,,,
High,Q68FL6,"Methionine--tRNA ligase, cytoplasmic OS=Mus musculus (Mouse) OX=10090 GN=Mars PE=1 SV=1",101.4,12,4,8,,7,,,4,8,,7,,,2.5,1.08E-03,2,6,2,7,1,4,1.43E+06,3.52E+06,3.56E+05,1.98E+07,3.92E+06,8.10E+06,,,
High,P05201,"Aspartate aminotransferase, cytoplasmic OS=Mus musculus (Mouse) OX=10090 GN=Got1 PE=1 SV=3",46.2,21,10,8,8,13,14,17,10,11,8,18,20,21,1.79,1.41E-03,12,15,10,16,16,17,3.63E+07,6.20E+07,2.54E+07,6.86E+07,4.17E+08,1.26E+08,,,
High,P41234,ATP-binding cassette sub-family A member 2 OS=Mus musculus (Mouse) OX=10090 GN=Abca2 PE=1 SV=4,270.3,15,4,9,2,11,,2,4,9,2,12,,2,-2.7,1.57E-03,3,10,7,10,1,5,8.22E+06,9.72E+06,2.41E+06,1.06E+07,9.91E+04,1.27E+06,,,
High,Q9JJK2,LanC-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Lancl2 PE=1 SV=1,50.7,5,2,1,,4,2,2,2,1,,4,2,2,3,1.61E-03,,2,1,2,3,2,,1.37E+06,9.47E+04,2.89E+06,2.90E+06,7.29E+05,,,
High,O88935,Synapsin-1 OS=Mus musculus (Mouse) OX=10090 GN=Syn1 PE=1 SV=2,74.1,14,4,10,5,13,5,7,5,14,5,18,6,9,1.77,1.88E-03,6,12,6,13,5,9,7.41E+06,3.23E+07,6.82E+06,3.98E+07,8.12E+06,2.52E+07,,,
High,Q8BZ98,Dynamin-3 OS=Mus musculus (Mouse) OX=10090 GN=Dnm3 PE=1 SV=1,97.1,16,5,22,4,21,6,3,6,25,4,26,6,3,1.86,1.93E-03,5,15,6,12,6,7,5.21E+06,1.95E+07,2.46E+06,1.89E+07,2.66E+07,5.48E+06,,,
High,O35114,Lysosome membrane protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Scarb2 PE=1 SV=3,54,5,3,3,,3,1,3,3,4,,4,1,3,2.42,2.62E-03,1,4,3,5,1,3,1.07E+06,4.24E+06,1.14E+06,9.31E+06,7.39E+05,6.11E+06,,,
High,Q8BR63,Protein FAM177A1 OS=Mus musculus (Mouse) OX=10090 GN=Fam177a1 PE=1 SV=1,23.6,7,5,7,3,4,1,2,5,11,3,4,1,2,-2.45,3.39E-03,6,9,7,5,2,4,1.02E+07,1.43E+07,4.95E+06,8.73E+06,1.38E+06,1.86E+06,,,
High,P52480,Pyruvate kinase PKM OS=Mus musculus (Mouse) OX=10090 GN=Pkm PE=1 SV=4,57.8,34,26,26,22,32,26,26,71,35,29,52,42,44,1.61,3.69E-03,33,36,31,36,30,35,1.33E+09,2.44E+08,1.54E+08,7.47E+08,7.87E+08,4.58E+08,,,
High,Q8C3F2,Constitutive coactivator of PPAR-gamma-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Fam120c PE=1 SV=3,119.6,11,3,4,,9,2,2,3,4,,9,2,2,2.06,3.75E-03,3,2,3,7,4,4,2.62E+06,2.59E+06,7.00E+05,1.08E+07,1.03E+08,3.49E+06,,,
High,Q14BB9,MAP6 domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Map6d1 PE=1 SV=1,20.4,5,4,5,4,5,,2,5,7,6,6,,3,-2.19,3.75E-03,4,5,5,5,1,4,1.41E+07,2.91E+07,1.60E+07,7.05E+06,6.25E+05,3.50E+06,,,
High,Q3V0K9,Plastin-1 OS=Mus musculus (Mouse) OX=10090 GN=Pls1 PE=1 SV=1,70.4,9,8,8,1,9,,,8,10,1,10,,,-2.63,3.80E-03,6,6,5,5,1,1,6.47E+06,7.36E+06,2.79E+06,4.51E+06,1.04E+06,8.69E+05,,,
High,P48036,Annexin A5 OS=Mus musculus (Mouse) OX=10090 GN=Anxa5 PE=1 SV=1,35.7,22,15,18,12,20,15,15,18,23,13,32,20,24,1.6,3.86E-03,16,21,18,25,20,20,1.19E+08,1.09E+08,6.55E+07,4.56E+08,3.32E+08,2.68E+08,,,
High,P35235,Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus (Mouse) OX=10090 GN=Ptpn11 PE=1 SV=3,68,15,9,13,4,13,3,4,11,13,4,15,3,4,-1.95,4.24E-03,10,11,9,10,4,7,2.14E+07,2.07E+07,5.49E+06,1.73E+07,2.87E+06,5.36E+06,,,
High,Q9ET22,Dipeptidyl peptidase 2 OS=Mus musculus (Mouse) OX=10090 GN=Dpp7 PE=1 SV=2,56.2,8,4,8,4,1,1,5,4,9,5,1,1,5,-2.49,4.35E-03,6,7,5,3,2,5,6.73E+06,2.04E+07,7.59E+06,1.35E+06,1.35E+06,8.50E+06,,,
High,D3YXK2,Scaffold attachment factor B1 OS=Mus musculus (Mouse) OX=10090 GN=Safb PE=1 SV=2,105,10,9,11,2,12,1,2,9,11,2,12,1,2,-2.76,4.59E-03,5,6,4,7,1,4,9.90E+06,3.96E+06,5.79E+05,5.11E+06,5.52E+04,5.83E+05,,,
High,Q9D2V7,Coronin-7 OS=Mus musculus (Mouse) OX=10090 GN=Coro7 PE=1 SV=2,100.7,10,1,8,,9,1,,1,8,,10,1,,2.37,4.64E-03,1,7,2,7,5,3,8.68E+05,3.11E+06,1.87E+05,4.49E+06,1.16E+07,8.25E+05,,,
High,Q99KC8,von Willebrand factor A domain-containing protein 5A OS=Mus musculus (Mouse) OX=10090 GN=Vwa5a PE=1 SV=2,87.1,8,,5,,8,2,2,,5,,8,2,2,2.34,4.90E-03,,5,2,7,2,6,,2.09E+06,2.79E+05,8.28E+06,1.02E+06,3.87E+06,,,
High,Q8BHK1,Magnesium transporter NIPA1 OS=Mus musculus (Mouse) OX=10090 GN=Nipa1 PE=1 SV=1,34.1,3,3,3,1,3,,3,3,3,1,3,,3,-2.26,5.16E-03,3,3,3,3,2,3,1.10E+07,1.08E+07,6.67E+06,4.00E+06,4.14E+05,2.26E+06,,,
High,P35505,Fumarylacetoacetase OS=Mus musculus (Mouse) OX=10090 GN=Fah PE=1 SV=2,46.1,13,7,11,6,12,8,9,7,13,8,18,8,13,1.52,5.85E-03,8,13,12,14,9,11,1.62E+07,2.91E+07,2.22E+07,9.83E+07,6.38E+07,5.21E+07,,,
High,P70124,Serpin B5 OS=Mus musculus (Mouse) OX=10090 GN=Serpinb5 PE=1 SV=1,42.1,6,6,,,,,1,6,,,,,1,-2.57,6.19E-03,6,1,3,2,2,3,4.00E+07,6.74E+05,4.74E+06,7.99E+05,6.25E+05,3.58E+06,,,
High,P70704,Phospholipid-transporting ATPase IA OS=Mus musculus (Mouse) OX=10090 GN=Atp8a1 PE=1 SV=2,131.3,7,1,6,,3,,2,1,6,,3,,2,2.49,6.39E-03,1,4,1,4,3,3,5.19E+05,3.21E+06,1.18E+05,2.91E+06,4.44E+06,2.80E+06,,,
High,P26645,Myristoylated alanine-rich C-kinase substrate OS=Mus musculus (Mouse) OX=10090 GN=Marcks PE=1 SV=2,29.6,9,3,5,4,8,1,7,3,5,4,10,1,9,1.72,7.34E-03,5,6,5,6,6,7,4.90E+06,7.16E+06,3.60E+06,1.62E+07,1.05E+07,1.82E+07,,,
High,P11798,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Mus musculus (Mouse) OX=10090 GN=Camk2a PE=1 SV=2,54.1,8,1,10,,7,1,,1,11,,7,1,,2.61,7.53E-03,1,5,2,4,2,2,2.33E+05,6.02E+06,4.02E+05,2.45E+06,6.50E+06,6.36E+05,,,
High,Q80W54,CAAX prenyl protease 1 homolog OS=Mus musculus (Mouse) OX=10090 GN=Zmpste24 PE=1 SV=2,54.7,9,2,1,,8,,2,2,2,,10,,2,-2.82,7.60E-03,1,5,2,5,1,2,2.56E+06,3.02E+06,9.15E+05,8.03E+06,3.62E+05,2.59E+05,,,
High,Q6WVG3,BTB/POZ domain-containing protein KCTD12 OS=Mus musculus (Mouse) OX=10090 GN=Kctd12 PE=1 SV=1,35.9,7,,6,,1,1,2,,6,,1,1,2,2.51,7.65E-03,1,6,1,3,1,4,4.67E+05,6.85E+06,1.47E+05,6.31E+05,2.66E+06,2.72E+06,,,
High,P60670,Nuclear protein localization protein 4 homolog OS=Mus musculus (Mouse) OX=10090 GN=Nploc4 PE=1 SV=3,68,9,1,4,,7,3,1,1,5,,7,3,1,1.79,7.89E-03,5,5,4,8,3,5,3.22E+06,4.02E+06,5.26E+06,1.67E+07,6.07E+06,1.39E+07,,,
High,Q9CQ92,Mitochondrial fission 1 protein OS=Mus musculus (Mouse) OX=10090 GN=Fis1 PE=1 SV=1,17,5,4,5,4,5,2,5,4,6,4,6,3,5,1.43,8.01E-03,2,5,5,5,3,5,8.66E+06,1.95E+07,9.44E+06,3.01E+07,1.99E+07,2.54E+07,,,
High,Q9QYA2,Mitochondrial import receptor subunit TOM40 homolog OS=Mus musculus (Mouse) OX=10090 GN=Tomm40 PE=1 SV=3,37.9,6,3,3,,2,,2,3,3,,2,,2,-2.54,8.07E-03,2,3,2,3,1,2,4.24E+06,6.01E+06,4.30E+06,4.59E+07,2.45E+05,7.37E+05,,,
High,Q9ESX5,H/ACA ribonucleoprotein complex subunit DKC1 OS=Mus musculus (Mouse) OX=10090 GN=Dkc1 PE=1 SV=4,57.4,9,3,3,,7,,2,3,3,,8,,2,-2.95,8.22E-03,2,4,3,4,1,1,3.19E+06,2.21E+06,8.79E+05,3.90E+06,3.71E+04,2.87E+05,,,
High,Q8R3P0,Aspartoacylase OS=Mus musculus (Mouse) OX=10090 GN=Aspa PE=1 SV=2,35.3,12,8,7,8,6,5,7,11,10,8,6,5,8,-1.84,8.29E-03,12,12,10,11,6,11,9.30E+07,1.16E+08,6.69E+07,2.59E+07,1.76E+07,3.90E+07,,,
High,Q60972,Histone-binding protein RBBP4 OS=Mus musculus (Mouse) OX=10090 GN=Rbbp4 PE=1 SV=5,47.6,6,8,10,6,8,5,3,9,10,7,8,5,3,-2.08,8.30E-03,3,3,3,3,1,1,1.27E+07,1.30E+07,7.53E+06,2.08E+07,2.77E+06,3.00E+06,,,
High,E9PVA8,eIF-2-alpha kinase activator GCN1 OS=Mus musculus (Mouse) OX=10090 GN=Gcn1 PE=1 SV=1,292.8,21,17,2,,5,,,17,2,,5,,,-3.05,8.30E-03,11,2,,5,1,3,1.09E+07,4.27E+05,,2.24E+06,1.67E+05,2.62E+05,,,
High,Q91VI7,Ribonuclease inhibitor OS=Mus musculus (Mouse) OX=10090 GN=Rnh1 PE=1 SV=1,49.8,7,,2,,6,3,1,,2,,6,3,1,2.04,8.96E-03,1,2,2,3,3,2,9.28E+05,2.08E+06,1.19E+06,3.51E+06,5.57E+06,4.91E+06,,,
High,G5E8V9,ADP-ribosylation factor-interacting protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Arfip1 PE=1 SV=1,41.5,4,1,2,,4,1,,1,2,,5,1,,2.14,9.09E-03,,3,1,4,2,3,,2.14E+06,2.97E+05,5.25E+06,3.52E+06,3.51E+06,,,
High,Q9CZ30,Obg-like ATPase 1 OS=Mus musculus (Mouse) OX=10090 GN=Ola1 PE=1 SV=1,44.7,8,4,1,1,6,2,3,4,1,1,6,2,4,1.94,9.37E-03,4,2,1,6,4,4,1.02E+07,2.02E+06,8.48E+05,7.96E+06,5.22E+06,7.71E+06,,,
High,Q6PFD9,Nuclear pore complex protein Nup98-Nup96 OS=Mus musculus (Mouse) OX=10090 GN=Nup98 PE=1 SV=2,197.1,7,1,3,,5,,,1,4,,5,,,-2.46,9.42E-03,4,4,3,4,1,2,4.59E+06,5.01E+06,1.98E+06,2.41E+06,1.65E+05,8.32E+05,,,
High,P08074,Carbonyl reductase [NADPH] 2 OS=Mus musculus (Mouse) OX=10090 GN=Cbr2 PE=1 SV=1,25.9,7,2,5,2,,,3,2,5,3,,,3,-2.33,9.45E-03,3,6,6,2,1,5,5.01E+06,1.61E+07,6.92E+06,1.37E+06,6.98E+05,7.06E+06,,,
High,Q8R2U6,Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Mus musculus (Mouse) OX=10090 GN=Nudt4 PE=1 SV=1,20.1,3,3,3,1,3,,1,3,3,1,3,,1,-2.7,9.96E-03,3,3,1,3,1,1,3.77E+06,2.96E+06,5.14E+05,2.76E+06,4.41E+05,4.54E+05,,,
High,P19096,Fatty acid synthase OS=Mus musculus (Mouse) OX=10090 GN=Fasn PE=1 SV=2,272.3,54,30,41,8,35,6,7,39,43,8,35,6,7,-1.79,1.04E-02,30,41,25,35,14,20,9.96E+07,5.96E+07,1.39E+07,3.92E+07,1.43E+07,1.72E+07,,,
High,Q9CQA3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Sdhb PE=1 SV=1",31.8,7,5,5,2,6,2,2,7,6,2,7,3,2,-1.77,1.12E-02,5,6,4,7,3,4,2.15E+07,1.90E+07,4.48E+06,3.51E+07,4.10E+06,5.59E+06,,,
High,Q921M4,Golgin subfamily A member 2 OS=Mus musculus (Mouse) OX=10090 GN=Golga2 PE=1 SV=3,113.2,13,1,6,,13,,4,1,6,,13,,4,2.79,1.22E-02,1,6,2,7,4,5,2.88E+05,2.12E+06,2.86E+05,3.49E+06,1.99E+06,9.92E+05,,,
High,Q9Z1G4,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus (Mouse) OX=10090 GN=Atp6v0a1 PE=1 SV=3,96.4,15,5,12,3,13,4,5,5,12,3,13,5,5,1.64,1.26E-02,4,11,4,13,8,10,4.41E+06,2.24E+07,4.75E+06,2.16E+07,1.06E+07,1.48E+07,,,
