© 2000-2021 QIAGEN. All rights reserved.

Analysis Details for My Projects->HD_Myelination_Paper->de6WkR62_res2 - 2019-03-29 11:31 AM
Workspace	My Projects
Project	HD_Myelination_Paper
Analysis	de6WkR62_res2 - 2019-03-29 11:31 AM
Date	Fri Mar 29 08:31:46 PDT 2019
Analysis ID	17620251

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human OR Mouse OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->HD_Myelination_Paper->de6WkR62_res2 - 2019-03-29 11:31 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Th17 Activation Pathway	-0E00		3.30E-02	HSP90AA1,HSP90B1,IRAK3	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00		2.33E-02	B4GAT1	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00		3.70E-02	HIST1H4I,RIF1	
Triacylglycerol Degradation	-0E00		3.70E-02	DAGLB,FAAH	
Tryptophan Degradation X (Mammalian, via Tryptamine)	-0E00		4.00E-02	SMOX	
UVC-Induced MAPK Signaling	-0E00		4.08E-02	MAPK10,PRKCE	
VDR/RXR Activation	-0E00		3.85E-02	GADD45A,PRKCE,SERPINB1	
α-Adrenergic Signaling	-0E00		3.26E-02	ADCY5,PRKAR1B,PRKCE	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.98E-01		4.17E-02	STAT1	
TCA Cycle II (Eukaryotic)	1.98E-01		4.17E-02	ACO2	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	2.09E-01		4.35E-02	TNF	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.09E-01		4.35E-02	CMPK2	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	2.09E-01		4.35E-02	RSAD2	
Apelin Cardiac Fibroblast Signaling Pathway	2.21E-01		4.55E-02	TGFB3	
Ephrin B Signaling	2.44E-01		4.17E-02	GNA12,GNAZ,PAK1	
Dermatan Sulfate Biosynthesis (Late Stages)	2.46E-01		4.35E-02	CHST12,HS3ST1	
Granzyme A Signaling	2.47E-01		5.00E-02	HIST1H1C	
The Visual Cycle	2.47E-01		5.00E-02	DHRS4	
iNOS Signaling	2.56E-01		4.44E-02	IRAK3,STAT1	
GABA Receptor Signaling	2.61E-01		4.21E-02	ADCY5,ALDH5A1,GPR37,UBC	
GADD45 Signaling	2.61E-01		5.26E-02	GADD45A	
Histamine Degradation	2.61E-01		5.26E-02	HNMT	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.65E-01		4.55E-02	IRF7,TRIM25	
IL-10 Signaling	2.67E-01		4.35E-02	IL1RAP,IL33,TNF	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.75E-01		4.65E-02	IL33,TNF	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	2.77E-01		5.56E-02	INPP5J	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	2.77E-01		5.56E-02	INPP5J	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	2.77E-01		5.56E-02	TNF	
Ubiquinol-10 Biosynthesis (Eukaryotic)	2.77E-01		5.56E-02	CYP26B1	
T Cell Receptor Signaling	2.8E-01		4.27E-02	FGFR2,FGFR4,GAB1,PPP3R1,PTPN11	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.81E-01	1.0	4.35E-02	ACTG1,PAK1,PRKCE,TLN2	
Mitochondrial L-carnitine Shuttle Pathway	2.93E-01		5.88E-02	ACSL3	
γ-linolenate Biosynthesis II (Animals)	2.93E-01		5.88E-02	ACSL3	
B Cell Activating Factor Signaling	2.97E-01		4.88E-02	MAPK10,TNFRSF13C	
Estrogen Biosynthesis	2.97E-01		4.88E-02	CYP51A1,POR	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.98E-01	-0.3779644730092272	4.29E-02	ADCY5,PDIA3,PLCL1,PPP2CA,PPP3R1,PRKAR1B,PRKCE	
Systemic Lupus Erythematosus Signaling	3E-01		4.24E-02	FGFR2,FGFR4,GAB1,HLA-A,HLA-E,HLA-G,IL33,PTPN11,TNF,TNFRSF13C	
Th1 and Th2 Activation Pathway	3.01E-01		4.28E-02	FGFR2,FGFR4,GAB1,HLA-A,IL25,IL33,PTPN11,STAT1	
Melatonin Degradation I	3.01E-01		4.62E-02	B4GAT1,CYP51A1,POR	
Nicotine Degradation II	3.01E-01		4.62E-02	B4GAT1,CYP51A1,POR	
PXR/RXR Activation	3.01E-01		4.62E-02	ABCB9,PRKAR1B,TNF	
Synaptic Long Term Depression	3.06E-01	-0.7071067811865475	4.30E-02	GNA12,GNAZ,GRM3,PDIA3,PLA2G16,PLCL1,PPP2CA,PRKCE	
Th1 Pathway	3.08E-01	0.0	4.38E-02	FGFR2,FGFR4,GAB1,HLA-A,PTPN11,STAT1	
Granzyme B Signaling	3.12E-01		6.25E-02	APAF1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.13E-01	-0.4472135954999579	4.46E-02	ADCY5,PDIA3,PLCL1,PRKAR1B,PRKCE	
Phospholipases	3.19E-01		4.76E-02	PDIA3,PLA2G16,PLCL1	
Antiproliferative Role of Somatostatin Receptor 2	3.19E-01	-1.0	4.60E-02	FGFR2,FGFR4,GAB1,PTPN11	
Estrogen-Dependent Breast Cancer Signaling	3.19E-01	-1.0	4.60E-02	FGFR2,FGFR4,GAB1,PTPN11	
PI3K Signaling in B Lymphocytes	3.21E-01	0.0	4.44E-02	CAMK2G,CD81,PDIA3,PLCL1,PLEKHA1,PPP3R1	
Retinoic acid Mediated Apoptosis Signaling	3.29E-01		4.84E-02	APAF1,CFLAR,PARP12	
Histidine Degradation VI	3.32E-01		6.67E-02	CYP26B1	
Superpathway of Citrulline Metabolism	3.32E-01		6.67E-02	ASL	
Notch Signaling	3.33E-01		5.26E-02	HEY1,MAG	
Antioxidant Action of Vitamin C	3.35E-01	0.4472135954999579	4.59E-02	MAPK10,PDIA3,PLA2G16,PLCL1,TNF	
Non-Small Cell Lung Cancer Signaling	3.36E-01	-1.0	4.71E-02	FGFR2,FGFR4,GAB1,PTPN11	
Noradrenaline and Adrenaline Degradation	3.46E-01		5.41E-02	DHRS4,SMOX	
SPINK1 Pancreatic Cancer Pathway	3.49E-01		5.00E-02	CPM,CTSA,CTSB	
Androgen Biosynthesis	3.53E-01		7.14E-02	SRD5A1	
Ephrin Receptor Signaling	3.58E-01	-1.1338934190276817	4.52E-02	BCAR1,FGF1,GNA12,GNAZ,PAK1,PAK5,PTPN11,SDCBP	
fMLP Signaling in Neutrophils	3.62E-01	0.0	4.65E-02	FGFR2,FGFR4,GAB1,PPP3R1,PRKCE,PTPN11	
SPINK1 General Cancer Pathway	3.62E-01	-1.0	4.88E-02	FGFR2,FGFR4,GAB1,PTPN11	
Th2 Pathway	3.66E-01	-0.4472135954999579	4.61E-02	FGFR2,FGFR4,GAB1,HLA-A,IL25,IL33,PTPN11	
TWEAK Signaling	3.74E-01		5.71E-02	APAF1,CASP7	
Fatty Acid Activation	3.77E-01		7.69E-02	ACSL3	
NAD Phosphorylation and Dephosphorylation	3.77E-01		7.69E-02	NADK2	
Oleate Biosynthesis II (Animals)	3.77E-01		7.69E-02	Scd2	
γ-glutamyl Cycle	3.77E-01		7.69E-02	OPLAH	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	3.81E-01	-1.0	5.00E-02	FGFR2,FGFR4,GAB1,PTPN11	
Nicotine Degradation III	3.94E-01		5.36E-02	B4GAT1,CYP51A1,POR	
Mitochondrial Dysfunction	3.96E-01		4.68E-02	ACO2,APP,BACE1,CAT,COX6B2,GPD2,MAPK10,PINK1	
Acyl-CoA Hydrolysis	4.04E-01		8.33E-02	ACOT7	
Pregnenolone Biosynthesis	4.04E-01		8.33E-02	CYP26B1	
PTEN Signaling	4.08E-01	0.8164965809277261	4.88E-02	BCAR1,BCL2L1,FGFR2,FGFR4,INPP5J,NGFR	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	4.12E-01	-2.0	5.19E-02	DVL1,FZD3,FZD7,WNT5B	
Glioma Signaling	4.17E-01	0.0	4.92E-02	CAMK2G,FGFR2,FGFR4,GAB1,PRKCE,PTPN11	
Gαi Signaling	4.17E-01	-1.0	4.92E-02	ADCY5,CAV1,GRM3,LPAR1,PRKAR1B,RALGDS	
Tight Junction Signaling	4.17E-01		4.76E-02	ACTG1,CLDN11,CLDN14,NGFR,PPP2CA,PRKAR1B,TGFB3,TNF	
Acute Myeloid Leukemia Signaling	4.18E-01	-1.3416407864998738	5.05E-02	FGFR2,FGFR4,GAB1,KIT,PTPN11	
Role of Cytokines in Mediating Communication between Immune Cells	4.19E-01		5.56E-02	IL25,IL33,TNF	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.24E-01	-1.1338934190276817	4.86E-02	DUSP1,DUSP15,MTMR2,MTMR4,PPP1R16B,PTPN11,PTPRN	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.24E-01	-1.1338934190276817	4.86E-02	DUSP1,DUSP15,MTMR2,MTMR4,PPP1R16B,PTPN11,PTPRN	
PKCθ Signaling in T Lymphocytes	4.24E-01	0.0	4.79E-02	CAMK2G,FGFR2,FGFR4,GAB1,HLA-A,MAP3K11,PPP3R1,PTPN11	
Pentose Phosphate Pathway	4.33E-01		9.09E-02	TALDO1	
Salvage Pathways of Pyrimidine Ribonucleotides	4.37E-01	0.4472135954999579	5.15E-02	CMPK2,EIF2AK2,PAK1,PAK5,PRKCE	
VEGF Family Ligand-Receptor Interactions	4.47E-01	-0.4472135954999579	5.21E-02	FGFR2,FGFR4,GAB1,PRKCE,PTPN11	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	4.56E-01	1.0	5.48E-02	ADCY5,PDIA3,PLCL1,PRKAR1B	
T Helper Cell Differentiation	4.56E-01		5.48E-02	HLA-A,NGFR,STAT1,TNF	
Acetone Degradation I (to Methylglyoxal)	4.57E-01		6.67E-02	CYP51A1,POR	
mTOR Signaling	4.59E-01	-0.6324555320336759	4.81E-02	FGFR2,FGFR4,FNBP1,GAB1,PPP2CA,PRKCE,PTPN11,RHOG,RND2,RPS6KA1	
D-myo-inositol-5-phosphate Metabolism	4.62E-01	-1.414213562373095	4.94E-02	DUSP1,DUSP15,MTMR2,MTMR4,PIP4K2A,PPP1R16B,PTPN11,PTPRN	
Glycine Betaine Degradation	4.66E-01		1.00E-01	PIPOX	
Ketolysis	4.66E-01		1.00E-01	BDH1	
Basal Cell Carcinoma Signaling	4.67E-01	-2.0	5.56E-02	DVL1,FZD3,FZD7,WNT5B	
IL-2 Signaling	4.67E-01	-1.0	5.56E-02	FGFR2,FGFR4,GAB1,PTPN11	
Assembly of RNA Polymerase II Complex	4.73E-01		6.00E-02	ERCC3,MNAT1,POLR2A	
IL-17 Signaling	4.78E-01		5.38E-02	FGFR2,FGFR4,GAB1,MAPK10,PTPN11	
IL-7 Signaling Pathway	4.78E-01	-0.4472135954999579	5.38E-02	FGFR2,FGFR4,GAB1,PTPN11,STAT1	
CCR3 Signaling in Eosinophils	4.82E-01	-1.1338934190276817	5.11E-02	FGFR2,FGFR4,GAB1,PAK1,PAK5,PRKCE,PTPN11	
Autoimmune Thyroid Disease Signaling	4.88E-01		6.12E-02	HLA-A,HLA-E,HLA-G	
Factors Promoting Cardiogenesis in Vertebrates	4.89E-01		5.43E-02	DVL1,FZD3,FZD7,PRKCE,TGFB3	
Superpathway of Melatonin Degradation	4.92E-01	-2.0	5.71E-02	B4GAT1,CYP51A1,POR,SMOX	
3-phosphoinositide Degradation	4.94E-01	-1.414213562373095	5.06E-02	DUSP1,DUSP15,INPP5J,MTMR2,MTMR4,PPP1R16B,PTPN11,PTPRN	
IL-15 Production	4.96E-01		7.14E-02	MAP3K11,STAT1	
Chronic Myeloid Leukemia Signaling	4.99E-01		5.31E-02	BCL2L1,FGFR2,FGFR4,GAB1,PTPN11,TGFB3	
IGF-1 Signaling	4.99E-01	-0.4472135954999579	5.31E-02	FGFR2,FGFR4,GAB1,PRKAR1B,PTPN11,YWHAZ	
Sucrose Degradation V (Mammalian)	5.04E-01		1.11E-01	TPI1	
Sirtuin Signaling Pathway	5.08E-01	0.3333333333333333	4.79E-02	ABCA1,APP,ATG4C,GADD45A,HIST1H1C,LDHB,NDRG1,NQO1,PGK1,SLC25A4,TIMM22,TNF,TOMM34,XPA	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	5.11E-01		5.56E-02	HLA-A,IL33,TLR3,TNF,TNFRSF13C	
Acute Phase Response Signaling	5.3E-01	-0.8164965809277261	5.11E-02	IL1RAP,IL33,ITIH3,NGFR,PTPN11,SERPINA3,SERPIND1,TF,TNF	
Erythropoietin Signaling	5.34E-01		5.68E-02	FGFR2,FGFR4,GAB1,PRKCE,PTPN11	
FAT10 Cancer Signaling Pathway	5.36E-01		6.52E-02	NGFR,TGFB3,TNF	
Apelin Liver Signaling Pathway	5.4E-01		7.69E-02	MAPK10,TNF	
Lipid Antigen Presentation by CD1	5.4E-01		7.69E-02	B2M,PDIA3	
AMPK Signaling	5.42E-01	0.3779644730092272	5.02E-02	AK3,FASN,FGFR2,FGFR4,GAB1,PPP2CA,PRKAR1B,PTPN11,SMARCA2,SMARCC1,SMARCD3	
Calcium-induced T Lymphocyte Apoptosis	5.45E-01	1.0	6.06E-02	CABIN1,HLA-A,PPP3R1,PRKCE	
FcγRIIB Signaling in B Lymphocytes	5.46E-01	-0.4472135954999579	5.75E-02	FGFR2,FGFR4,GAB1,MAPK10,PTPN11	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	5.46E-01		1.25E-01	PGM2	
PI3K/AKT Signaling	5.57E-01	0.0	5.43E-02	BCL2L1,GAB1,HSP90AA1,HSP90B1,INPP5J,PPP2CA,YWHAZ	
Netrin Signaling	5.6E-01		6.15E-02	ABLIM2,PPP3R1,PRKAR1B,UNC5B	
Bupropion Degradation	5.64E-01		8.00E-02	CYP51A1,POR	
IL-17A Signaling in Gastric Cells	5.64E-01		8.00E-02	MAPK10,TNF	
B Cell Receptor Signaling	5.64E-01	0.0	5.15E-02	APBB1IP,BCL2L1,CAMK2G,FGFR2,FGFR4,GAB1,INPP5J,MAP3K11,PPP3R1,PTPN11	
Endocannabinoid Developing Neuron Pathway	5.67E-01	0.0	5.47E-02	ADCY5,FGFR2,FGFR4,GAB1,MAPK10,PRKAR1B,PTPN11	
Role of NFAT in Regulation of the Immune Response	5.72E-01	0.0	5.18E-02	CABIN1,FGFR2,FGFR4,GAB1,GNA12,GNAZ,HLA-A,PPP3R1,PTPN11,RCAN2	
Apelin Endothelial Signaling Pathway	5.77E-01	0.3779644730092272	5.51E-02	ADCY5,FGFR2,FGFR4,GAB1,MAPK10,PRKCE,PTPN11	
GNRH Signaling	5.81E-01	0.3333333333333333	5.29E-02	ADCY5,CAMK2G,MAP3K11,MAPK10,MMP2,PAK1,PAK5,PRKAR1B,PRKCE	
CDK5 Signaling	5.84E-01	-1.6329931618554523	5.71E-02	ADCY5,MAPK10,MAPT,NGFR,PPP2CA,PRKAR1B	
FXR/RXR Activation	5.88E-01		5.56E-02	FASN,FGFR4,IL33,MAPK10,SCARB1,TF,TNF	
Cysteine Biosynthesis III (mammalia)	5.89E-01		8.33E-02	EEF1AKMT2,NSUN4	
Glutathione Redox Reactions I	5.89E-01		8.33E-02	GSTK1,GSTP1	
IL-22 Signaling	5.89E-01		8.33E-02	MAPK10,STAT1	
Tumoricidal Function of Hepatic Natural Killer Cells	5.89E-01		8.33E-02	APAF1,CASP7	
Melanoma Signaling	5.89E-01	-1.0	6.35E-02	FGFR2,FGFR4,GAB1,PTPN11	
Regulation of Cellular Mechanics by Calpain Protease	5.89E-01		6.35E-02	ACTN1,CAPN5,CAPN6,TLN2	
Adenine and Adenosine Salvage III	5.96E-01		1.43E-01	HPRT1	
Aspartate Degradation II	5.96E-01		1.43E-01	GOT1	
Pentose Phosphate Pathway (Non-oxidative Branch)	5.96E-01		1.43E-01	TALDO1	
Actin Nucleation by ARP-WASP Complex	6.05E-01	-1.0	6.45E-02	FNBP1,GNA12,RHOG,RND2	
Osteoarthritis Pathway	6.05E-01	0.0	5.21E-02	ANXA5,CASP7,CASQ1,CTNNA2,FZD3,FZD7,HTRA1,IL1RAP,P2RX7,SMAD7,TNF	
NER Pathway	6.08E-01	0.8164965809277261	5.83E-02	ERCC3,HIST1H4I,MNAT1,POLR2A,XAB2,XPA	
Rac Signaling	6.09E-01	-1.889822365046136	5.65E-02	FGFR2,FGFR4,GAB1,MAP3K11,PAK1,PAK5,PTPN11	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	6.16E-01		8.70E-02	BPNT1,INPP5J	
autophagy	6.21E-01		6.56E-02	ATG4C,CTSA,CTSB,LAMP1	
NF-κB Signaling	6.24E-01	-0.6324555320336759	5.35E-02	EIF2AK2,FGFR2,FGFR4,GAB1,IL33,IRAK3,NGFR,PTPN11,TLR3,TNF	
CD40 Signaling	6.24E-01	-0.4472135954999579	6.17E-02	FGFR2,FGFR4,GAB1,MAPK10,PTPN11	
Gα12/13 Signaling	6.34E-01	-0.7071067811865475	5.59E-02	FGFR2,FGFR4,GAB1,GNA12,LPAR1,MAPK10,MYLPF,PTPN11	
ErbB4 Signaling	6.38E-01	-0.4472135954999579	6.25E-02	FGFR2,FGFR4,GAB1,PRKCE,PTPN11	
IL-17A Signaling in Airway Cells	6.38E-01	-0.4472135954999579	6.25E-02	FGFR2,FGFR4,GAB1,MAPK10,PTPN11	
Methionine Degradation I (to Homocysteine)	6.44E-01		9.09E-02	EEF1AKMT2,NSUN4	
Arginine Biosynthesis IV	6.54E-01		1.67E-01	ASL	
Glycerol Degradation I	6.54E-01		1.67E-01	GPD2	
Glycogen Biosynthesis II (from UDP-D-Glucose)	6.54E-01		1.67E-01	UGP2	
Pyruvate Fermentation to Lactate	6.54E-01		1.67E-01	LDHB	
Urea Cycle	6.54E-01		1.67E-01	ASL	
Gαq Signaling	6.57E-01	-0.3333333333333333	5.56E-02	FGFR2,FGFR4,FNBP1,GAB1,PPP3R1,PRKCE,PTPN11,RHOG,RND2	
Cardiac β-adrenergic Signaling	6.66E-01	0.0	5.71E-02	ADCY5,GDE1,PDE3A,PDE4B,PDE8A,PPP2CA,PRKAR1B,SMPDL3A	
G Beta Gamma Signaling	6.66E-01	1.1338934190276817	5.88E-02	CAV1,CAV2,GNA12,GNAZ,PAK1,PRKAR1B,PRKCE	
Role of JAK1 and JAK3 in γc Cytokine Signaling	6.68E-01		6.41E-02	FGFR2,FGFR4,GAB1,PTPN11,STAT1	
ErbB2-ErbB3 Signaling	6.83E-01	-1.3416407864998738	6.49E-02	ERBB3,FGFR2,FGFR4,GAB1,PTPN11	
Sumoylation Pathway	6.98E-01	0.0	6.25E-02	FNBP1,MAPK10,MYB,RHOG,RND2,SERBP1	
Inflammasome pathway	7.07E-01		1.00E-01	CTSB,P2RX7	
Androgen Signaling	7.11E-01		5.88E-02	ERCC3,GNA12,GNAZ,HSP90AA1,MNAT1,POLR2A,PRKAR1B,PRKCE	
NF-κB Activation by Viruses	7.12E-01	0.0	6.32E-02	EIF2AK2,FGFR2,FGFR4,GAB1,PRKCE,PTPN11	
Superpathway of Methionine Degradation	7.16E-01		8.11E-02	EEF1AKMT2,GOT1,NSUN4	
Citrulline-Nitric Oxide Cycle	7.24E-01		2.00E-01	ASL	
Creatine-phosphate Biosynthesis	7.24E-01		2.00E-01	CKB	
Glutamate Degradation III (via 4-aminobutyrate)	7.24E-01		2.00E-01	ALDH5A1	
Lysine Degradation V	7.24E-01		2.00E-01	PIPOX	
Protein Citrullination	7.24E-01		2.00E-01	PADI2	
Trans, trans-farnesyl Diphosphate Biosynthesis	7.24E-01		2.00E-01	IDI1	
Tyrosine Degradation I	7.24E-01		2.00E-01	FAH	
Hypoxia Signaling in the Cardiovascular System	7.31E-01		6.76E-02	HSP90AA1,HSP90B1,NQO1,UBE2D1,UBE2G1	
CD28 Signaling in T Helper Cells	7.34E-01	0.3779644730092272	5.97E-02	FGFR2,FGFR4,GAB1,HLA-A,MAPK10,PAK1,PPP3R1,PTPN11	
RhoGDI Signaling	7.41E-01	0.7071067811865475	5.71E-02	ACTG1,ARHGEF19,FNBP1,GNA12,GNAZ,MYLPF,PAK1,PAK5,RHOG,RND2	
Death Receptor Signaling	7.41E-01	1.6329931618554523	6.45E-02	ACTG1,APAF1,CASP7,CFLAR,PARP12,TNF	
Gustation Pathway	7.42E-01		5.84E-02	ADCY5,GDE1,P2RX4,P2RX7,PDE3A,PDE4B,PDE8A,PRKAR1B,SMPDL3A	
FGF Signaling	7.56E-01	0.0	6.52E-02	FGF1,FGF14,FGFR2,FGFR4,GAB1,PTPN11	
